Player Name,Club,Position
Mats Wieffer,Brighton & Hove Albion,MID
Matt O'Riley,Brighton & Hove Albion,MID
Pervis Estupiñán,Brighton & Hove Albion,DEF
Simon Adingra,Brighton & Hove Albion,MID
Tariq Lamptey,Brighton & Hove Albion,DEF
Yankuba Minteh,Brighton & Hove Albion,MID
Yasin Ayari,Brighton & Hove Albion,MID
Christopher Nkunku,Chelsea,MID
Cole Palmer,Chelsea,MID
Enzo Fernández,Chelsea,MID
Filip Jørgensen,Chelsea,GKP
Jadon Sancho,Chelsea,MID
Levi Colwill,Chelsea,DEF
Malo Gusto,Chelsea,DEF
Marc Cucurella,Chelsea,DEF
Moisés Caicedo,Chelsea,MID
Nicolas Jackson,Chelsea,FWD
Noni Madueke,Chelsea,MID
Pedro Neto,Chelsea,MID
Reece James,Chelsea,DEF
Robert Sánchez,Chelsea,GKP
Roméo Lavia,Chelsea,MID
Tosin Adarabioyo,Chelsea,DEF
Trevoh Chalobah,Chelsea,DEF
Wesley Fofana,Chelsea,DEF
Adam Wharton,Crystal Palace,MID
Chris Richards,Crystal Palace,DEF
Daichi Kamada,Crystal Palace,MID
Daniel Muñoz,Crystal Palace,DEF
Dean Henderson,Crystal Palace,GKP
Eberechi Eze,Crystal Palace,MID
Eddie Nketiah,Crystal Palace,FWD
Ismaïla Sarr,Crystal Palace,MID
Jean-Philippe Mateta,Crystal Palace,FWD
Jefferson Lerma,Crystal Palace,MID
Jordan Ayew,Crystal Palace,MID
Justin Devenny,Crystal Palace,MID
Marc Guéhi,Crystal Palace,DEF
Maxence Lacroix,Crystal Palace,DEF
Nathaniel Clyne,Crystal Palace,DEF
Tyrick Mitchell,Crystal Palace,DEF
Will Hughes,Crystal Palace,MID
Abdoulaye Doucouré,Everton,MID
Adam Armstrong,Everton,FWD
Ashley Young,Everton,DEF
Beto,Everton,FWD
Carlos Alcaraz,Everton,MID
Dominic Calvert-Lewin,Everton,FWD
Dwight McNeil,Everton,MID
Idrissa Gueye,Everton,MID
Iliman Ndiaye,Everton,FWD
Jack Harrison,Everton,MID
Jake O'Brien,Everton,MID
James Garner,Everton,MID
James Tarkowski,Everton,DEF
Jarrad Branthwaite,Everton,DEF
Jesper Lindstrøm,Everton,MID
Jordan Pickford,Everton,GKP
Michael Keane,Everton,DEF
Orel Mangala,Everton,MID
Tim Iroegbunam,Everton,MID
Vitalii Mykolenko,Everton,DEF
Adama Traoré,Fulham,MID
Alex Iwobi,Fulham,MID
Andreas Pereira,Fulham,MID
Antonee Robinson,Fulham,DEF
Bernd Leno,Fulham,GKP
Calvin Bassey,Fulham,DEF
Emile Smith Rowe,Fulham,MID
Harry Wilson,Fulham,MID
Issa Diop,Fulham,DEF
Joachim Andersen,Fulham,DEF
Kenny Tete,Fulham,DEF
Raúl Jiménez,Fulham,FWD
Reiss Nelson,Fulham,MID
Rodrigo Muniz,Fulham,FWD
Ryan Sessegnon,Fulham,DEF
Sander Berge,Fulham,MID
Sasa Lukic,Fulham,MID
Timothy Castagne,Fulham,DEF
Tom Cairney,Fulham,MID
Alex Palmer,Ipswich Town,MID
Arijanet Muric,Ipswich Town,GKP
Axel Tuanzebe,Ipswich Town,DEF
Ben Johnson,Ipswich Town,DEF
Cameron Burgess,Ipswich Town,DEF
Christian Walton,Ipswich Town,GKP
Conor Chaplin,Ipswich Town,MID
Dara O'Shea,Ipswich Town,DEF
George Hirst,Ipswich Town,FWD
Jack Clarke,Ipswich Town,FWD
Jack Taylor,Ipswich Town,MID
Jacob Greaves,Ipswich Town,DEF
Jaden Philogene,Ipswich Town,MID
Jens Cajuste,Ipswich Town,MID
Julio Enciso,Ipswich Town,MID
Kalvin Phillips,Ipswich Town,MID
Leif Davis,Ipswich Town,DEF
Liam Delap,Ipswich Town,FWD
Luke Woolfenden,Ipswich Town,DEF
Nathan Broadhead,Ipswich Town,MID
Omari Hutchinson,Ipswich Town,MID
Sam Morsy,Ipswich Town,MID
Sam Szmodics,Ipswich Town,FWD
Abdul Fatawu,Leicester City,MID
Bilal El Khannouss,Leicester City,MID
Bobby De Cordova-Reid,Leicester City,MID
Boubakary Soumaré,Leicester City,MID
Caleb Okoli,Leicester City,DEF
Conor Coady,Leicester City,DEF
Facundo Buonanotte,Leicester City,MID
Harry Winks,Leicester City,MID
Jakub Stolarczyk,Leicester City,GKP
James Justin,Leicester City,DEF
Jamie Vardy,Leicester City,FWD
Jannik Vestergaard,Leicester City,DEF
Kasey McAteer,Leicester City,MID
Luke Thomas,Leicester City,DEF
Mads Hermansen,Leicester City,GKP
Oliver Skipp,Leicester City,MID
Patson Daka,Leicester City,FWD
Stephy Mavididi,Leicester City,MID
Victor Kristiansen,Leicester City,DEF
Wilfred Ndidi,Leicester City,MID
Wout Faes,Leicester City,DEF
Alexis Mac Allister,Liverpool,MID
Alisson Becker,Liverpool,GKP
Andy Robertson,Liverpool,DEF
Caoimhín Kelleher,Liverpool,GKP
Cody Gakpo,Liverpool,FWD
Conor Bradley,Liverpool,DEF
Curtis Jones,Liverpool,MID
Darwin Núñez,Liverpool,FWD
Diogo Jota,Liverpool,FWD
Dominik Szoboszlai,Liverpool,MID
Ibrahima Konaté,Liverpool,DEF
Jarell Quansah,Liverpool,DEF
Joe Gomez,Liverpool,DEF
Kostas Tsimikas,Liverpool,DEF
Luis Díaz,Liverpool,MID
Mohamed Salah,Liverpool,MID
Ryan Gravenberch,Liverpool,MID
Trent Alexander-Arnold,Liverpool,DEF
Virgil van Dijk,Liverpool,DEF
Abdukodir Khusanov,Manchester City,DEF
Bernardo Silva,Manchester City,MID
Ederson,Manchester City,GKP
Erling Haaland,Manchester City,FWD
Ilkay Gündogan,Manchester City,MID
Jack Grealish,Manchester City,MID
Jérémy Doku,Manchester City,MID
John Stones,Manchester City,DEF
Josko Gvardiol,Manchester City,DEF
Kevin De Bruyne,Manchester City,MID
Kyle Walker,Manchester City,DEF
Manuel Akanji,Manchester City,DEF
Mateo Kovacic,Manchester City,MID
Matheus Nunes,Manchester City,MID
Nathan Aké,Manchester City,DEF
Nico González,Manchester City,MID
Nico O'Reilly,Manchester City,DEF
Omar Marmoush,Manchester City,FWD
Phil Foden,Manchester City,MID
Rico Lewis,Manchester City,DEF
Rúben Dias,Manchester City,DEF
Savinho,Manchester City,FWD
Stefan Ortega,Manchester City,GKP
Wes Burns,Manchester City,MID
Alejandro Garnacho,Manchester United,MID
Amad Diallo,Manchester United,MID
André Onana,Manchester United,GKP
Bruno Fernandes,Manchester United,MID
Casemiro,Manchester United,MID
Christian Eriksen,Manchester United,MID
Diogo Dalot,Manchester United,DEF
Harry Maguire,Manchester United,DEF
Joshua Zirkzee,Manchester United,FWD
Kobbie Mainoo,Manchester United,MID
Leny Yoro,Manchester United,DEF
Lisandro Martínez,Manchester United,DEF
Manuel Ugarte,Manchester United,MID
Mason Mount,Manchester United,MID
Matthijs de Ligt,Manchester United,DEF
Noussair Mazraoui,Manchester United,DEF
Patrick Dorgu,Manchester United,DEF
Rasmus Højlund,Manchester United,FWD
Victor Lindelöf,Manchester United,DEF
Alexander Isak,Newcastle United,FWD
Anthony Gordon,Newcastle United,MID
Bruno Guimarães,Newcastle United,MID
Dan Burn,Newcastle United,DEF
Fabian Schär,Newcastle United,DEF
Harvey Barnes,Newcastle United,MID
Jacob Murphy,Newcastle United,MID
Joe Willock,Newcastle United,MID
Joelinton,Newcastle United,MID
Kieran Trippier,Newcastle United,DEF
Lewis Hall,Newcastle United,DEF
Martin Dúbravka,Newcastle United,GKP
Nick Pope,Newcastle United,GKP
Sandro Tonali,Newcastle United,MID
Sean Longstaff,Newcastle United,MID
Tino Livramento,Newcastle United,DEF
Álex Moreno,Nottingham Forest,DEF
Anthony Elanga,Nottingham Forest,MID
Callum Hudson-Odoi,Nottingham Forest,MID
Chris Wood,Nottingham Forest,FWD
Elliot Anderson,Nottingham Forest,MID
Ibrahim Sangaré,Nottingham Forest,MID
Jota Silva,Nottingham Forest,FWD
Matz Sels,Nottingham Forest,GKP
Morato,Nottingham Forest,DEF
Morgan Gibbs-White,Nottingham Forest,MID
Murillo,Nottingham Forest,DEF
Nathan Wood,Nottingham Forest,DEF
Neco Williams,Nottingham Forest,DEF
Nicolás Domínguez,Nottingham Forest,MID
Nikola Milenkovic,Nottingham Forest,DEF
Ola Aina,Nottingham Forest,DEF
Ryan Yates,Nottingham Forest,MID
Aaron Ramsdale,Southampton,GKP
Alex McCarthy,Southampton,GKP
Cameron Archer,Southampton,FWD
Flynn Downes,Southampton,MID
Jack Stephens,Southampton,DEF
James Bree,Southampton,DEF
Jan Bednarek,Southampton,DEF
Joe Aribo,Southampton,MID
Kamaldeen Sulemana,Southampton,MID
Kyle Walker-Peters,Southampton,DEF
Lesley Ugochukwu,Southampton,MID
Mateus Fernandes,Southampton,MID
Paul Onuachu,Southampton,FWD
Ryan Manning,Southampton,DEF
Taylor Harwood-Bellis,Southampton,DEF
Tyler Dibling,Southampton,FWD
Welington,Southampton,DEF
Will Smallbone,Southampton,MID
Yukinari Sugawara,Southampton,DEF
Antonín Kinsky,Tottenham Hotspur,GKP
Archie Gray,Tottenham Hotspur,MID
Ben Davies,Tottenham Hotspur,DEF
Brennan Johnson,Tottenham Hotspur,MID
Cristian Romero,Tottenham Hotspur,DEF
Dejan Kulusevski,Tottenham Hotspur,MID
Destiny Udogie,Tottenham Hotspur,DEF
Djed Spence,Tottenham Hotspur,DEF
Dominic Solanke,Tottenham Hotspur,FWD
Fraser Forster,Tottenham Hotspur,GKP
Guglielmo Vicario,Tottenham Hotspur,GKP
James Maddison,Tottenham Hotspur,MID
Kevin Danso,Tottenham Hotspur,DEF
Lucas Bergvall,Tottenham Hotspur,MID
Mathys Tel,Tottenham Hotspur,FWD
Micky van de Ven,Tottenham Hotspur,DEF
Pape Sarr,Tottenham Hotspur,MID
Pedro Porro,Tottenham Hotspur,DEF
Radu Dragusin,Tottenham Hotspur,DEF
Richarlison,Tottenham Hotspur,FWD
Rodrigo Bentancur,Tottenham Hotspur,MID
Son Heung-Min,Tottenham Hotspur,MID
Timo Werner,Tottenham Hotspur,MID
Wilson Odobert,Tottenham Hotspur,FWD
Yves Bissouma,Tottenham Hotspur,MID
Aaron Cresswell,West Ham United,DEF
Aaron Wan-Bissaka,West Ham United,DEF
Alphonse Areola,West Ham United,GKP
Carlos Soler,West Ham United,MID
Crysencio Summerville,West Ham United,FWD
Edson Álvarez,West Ham United,MID
Emerson,West Ham United,GKP
Guido Rodríguez,West Ham United,MID
James Ward-Prowse,West Ham United,MID
Jarrod Bowen,West Ham United,MID
Jean-Clair Todibo,West Ham United,DEF
Konstantinos Mavropanos,West Ham United,DEF
Lucas Paquetá,West Ham United,MID
Lukasz Fabianski,West Ham United,GKP
Maximilian Kilman,West Ham United,DEF
Michail Antonio,West Ham United,FWD
Mohammed Kudus,West Ham United,MID
Niclas Füllkrug,West Ham United,FWD
Ollie Scarles,West Ham United,DEF
Tomás Soucek,West Ham United,MID
Vladimír Coufal,West Ham United,DEF
André,Wolverhampton Wanderers,MID
Craig Dawson,Wolverhampton Wanderers,DEF
Emmanuel Agbadou,Wolverhampton Wanderers,DEF
Gonçalo Guedes,Wolverhampton Wanderers,MID
Hwang Hee-Chan,Wolverhampton Wanderers,MID
Jean-Ricner Bellegarde,Wolverhampton Wanderers,MID
João Gomes,Wolverhampton Wanderers,DEF
Jørgen Strand Larsen,Wolverhampton Wanderers,FWD
José Sá,Wolverhampton Wanderers,GKP
Mario Lemina,Wolverhampton Wanderers,MID
Marshall Munetsi,Wolverhampton Wanderers,MID
Matheus Cunha,Wolverhampton Wanderers,MID
Matt Doherty,Wolverhampton Wanderers,DEF
Nélson Semedo,Wolverhampton Wanderers,DEF
Pablo Sarabia,Wolverhampton Wanderers,MID
Rayan Aït-Nouri,Wolverhampton Wanderers,DEF
Rodrigo Gomes,Wolverhampton Wanderers,MID
Sam Johnstone,Wolverhampton Wanderers,GKP
Santiago Bueno,Wolverhampton Wanderers,DEF
Tommy Doyle,Wolverhampton Wanderers,MID
Toti Gomes,Wolverhampton Wanderers,DEF
